date,total_revenue,total_qty,num_items,year,volta_as_aulas,carnaval,semana_santa,sao_joao,dia_namorados,dia_maes,dia_pais,dia_criancas,black_friday,natal
2024-05-24,42449.42,104,61,2024,0,0,0,0,0,0,0,0,0,0
2024-05-25,70106.29,139,100,2024,0,0,0,0,0,0,0,0,0,0
2024-05-26,92176.13,182,125,2024,0,0,0,0,0,0,0,0,0,0
2024-05-27,62745.54,160,113,2024,0,0,0,0,0,0,0,0,0,0
2024-05-28,30062.49,108,75,2024,0,0,0,0,0,0,0,0,0,0
2024-05-29,52266.39,108,73,2024,0,0,0,0,0,0,0,0,0,0
2024-05-30,214702.62,417,289,2024,0,0,0,0,0,0,0,0,0,0
2024-05-31,89024.15,163,106,2024,0,0,0,0,0,0,0,0,0,0
2024-06-01,54440.49,181,122,2024,0,0,0,0,0,0,0,0,0,0
2024-06-02,87650.95,196,112,2024,0,0,0,0,0,0,0,0,0,0
2024-06-03,95817.87,111,66,2024,0,0,0,0,0,0,0,0,0,0
2024-06-04,33082.240000000005,92,60,2024,0,0,0,0,0,0,0,0,0,0
2024-06-05,50181.95,102,67,2024,0,0,0,0,1,0,0,0,0,0
2024-06-06,92057.0,136,82,2024,0,0,0,0,1,0,0,0,0,0
2024-06-07,82241.29000000001,118,69,2024,0,0,0,0,1,0,0,0,0,0
2024-06-08,61422.729999999996,234,141,2024,0,0,0,0,1,0,0,0,0,0
2024-06-09,68992.69,117,75,2024,0,0,0,0,1,0,0,0,0,0
2024-06-10,19966.579999999998,114,68,2024,0,0,0,1,1,0,0,0,0,0
2024-06-11,114205.79,88,53,2024,0,0,0,1,1,0,0,0,0,0
2024-06-12,64753.65,110,68,2024,0,0,0,1,1,0,0,0,0,0
2024-06-13,32538.98,78,51,2024,0,0,0,1,0,0,0,0,0,0
2024-06-14,25351.27,110,71,2024,0,0,0,1,0,0,0,0,0,0
2024-06-15,51510.119999999995,92,56,2024,0,0,0,1,0,0,0,0,0,0
2024-06-16,75893.87,174,119,2024,0,0,0,1,0,0,0,0,0,0
2024-06-17,32535.64,93,67,2024,0,0,0,1,0,0,0,0,0,0
2024-06-18,28689.59,83,54,2024,0,0,0,1,0,0,0,0,0,0
2024-06-19,21546.16,61,48,2024,0,0,0,1,0,0,0,0,0,0
2024-06-20,61825.71,77,55,2024,0,0,0,1,0,0,0,0,0,0
2024-06-21,16577.440000000002,121,70,2024,0,0,0,1,0,0,0,0,0,0
2024-06-22,50620.88,131,86,2024,0,0,0,1,0,0,0,0,0,0
2024-06-23,46284.84,135,84,2024,0,0,0,1,0,0,0,0,0,0
2024-06-24,31343.02,97,65,2024,0,0,0,1,0,0,0,0,0,0
2024-06-25,147905.87,195,101,2024,0,0,0,1,0,0,0,0,0,0
2024-06-26,53309.25,119,60,2024,0,0,0,1,0,0,0,0,0,0
2024-06-27,13119.38,116,75,2024,0,0,0,1,0,0,0,0,0,0
2024-06-28,54035.4,105,72,2024,0,0,0,1,0,0,0,0,0,0
2024-06-29,46822.76,145,93,2024,0,0,0,1,0,0,0,0,0,0
2024-06-30,88639.04000000001,115,73,2024,0,0,0,1,0,0,0,0,0,0
2024-07-01,50277.45,119,72,2024,0,0,0,0,0,0,0,0,0,0
2024-07-02,55409.69,176,85,2024,0,0,0,0,0,0,0,0,0,0
2024-07-03,53973.850000000006,114,72,2024,0,0,0,0,0,0,0,0,0,0
2024-07-04,34746.409999999996,119,68,2024,0,0,0,0,0,0,0,0,0,0
2024-07-05,40269.36,124,78,2024,0,0,0,0,0,0,0,0,0,0
2024-07-06,54751.32,145,90,2024,0,0,0,0,0,0,0,0,0,0
2024-07-07,11826.97,70,44,2024,0,0,0,0,0,0,0,0,0,0
